time,p,p_dot,theta,theta_dot,u
1.580000000000001,1.6181341563379614,0.24618756820901994,-0.042402697356303094,0.041438360456682706,-0.5243229860683204
1.600000000000001,1.6229778182686199,0.2381705222132322,-0.041575192924200345,0.041329660585815234,-0.5085733182764062
1.620000000000001,1.6276638020124048,0.23041977638424901,-0.04075038188549513,0.041168963055742636,-0.49328799467603107
1.640000000000001,1.6321973426231793,0.22292624545193052,-0.03992926181995741,0.0409604841104801,-0.4784538084224856
1.660000000000001,1.6365834966486599,0.21568116327844025,-0.039112748524870775,0.0407081874868695,-0.4640578884084894
1.680000000000001,1.6408271483995784,0.2086760715579615,-0.038301680930182415,0.04041579780920178,-0.4500876952201371
1.700000000000001,1.6449330159964832,0.2019028088783016,-0.03749682575233487,0.0400868133321024,-0.4365310165597218
1.720000000000001,1.6489056572013647,0.19535350013913888,-0.03669888189952922,0.039724518059902396,-0.42337596221789653
1.740000000000001,1.6527494750411769,0.1890205463209418,-0.03590848464061436,0.03933199326976442,-0.41061095866993125
1.7600000000000011,1.6564687232301998,0.18289661459795845,-0.03512620954926143,0.03891212846489715,-0.3982247433630645
1.7800000000000011,1.6600675113980532,0.17697462878814557,-0.03435257623456491,0.03846763178326605,-0.38620635875517884
1.8000000000000012,1.6635498101300221,0.17124776013246035,-0.03358805186871304,0.0380010398863001,-0.37454514615826845
1.8200000000000012,1.6669194558262015,0.16570941839557973,-0.032833054521889456,0.03751472735119784,-0.3632307394343725
1.8400000000000012,1.6701801553858058,0.16035324327982645,-0.03208795631410454,0.03701091558955736,-0.35225305858599637
1.8600000000000012,1.673335490722821,0.1551730961438658,-0.031353086393209405,0.03649168131419178,-0.3416023032780197
1.8800000000000012,1.67638892311901,0.15016305201758506,-0.030628733747916675,0.035958964575145615,-0.3312689463234501
1.9000000000000012,1.6793437974201038,0.14531739190447263,-0.029915149864240338,0.035414576385099636,-0.321243727161239
1.9200000000000013,1.6822033460808432,0.14063059536276767,-0.029212551233371374,0.0348602059535431,-0.3115176453505574
1.9400000000000013,1.6849706930643584,0.13609733335665233,-0.028521121718626256,0.03429742754830264,-0.30208195410249206
1.9600000000000013,1.687648857601198,0.13171246136879752,-0.027841014788741396,0.033727707002247795,-0.29292815386716314
1.9800000000000013,1.6902407578131482,0.12747101276564685,-0.02717235562443784,0.033152407882245466,-0.2840479859913988
2.0000000000000013,1.6927492142068115,0.12336819240692769,-0.026515243104846306,0.03257279733670793,-0.2754334264597747
2.0200000000000014,1.6951769530417466,0.11939937049100699,-0.025869751680063016,0.031990051637374325,-0.2670766797296072
2.0400000000000014,1.6975266095777997,0.11556007662786,-0.02523593313580077,0.0314052614302818,-0.25897017266862526
2.0600000000000014,1.6998007312061016,0.11184599413158837,-0.024613818255807326,0.030819436710222036,-0.25110654860228293
2.0800000000000014,1.7020017804680412,0.108252954524608,-0.02400341838744368,0.030233511532338962,-0.24347866147635833
2.1000000000000014,1.7041321379663705,0.10477693224581981,-0.023404726915547906,0.029648348473908258,-0.23607957013897593
2.1200000000000014,1.7061941051724479,0.10141403955528283,-0.022817720649455447,0.02906474285874323,-0.22890253274531108
2.1400000000000015,1.708189907133473,0.09816052162811688,-0.022242361127803655,0.028483426756100483,-0.22194100128703123
2.1600000000000015,1.710121695083431,0.09501275183057996,-0.021678595845516374,0.02790507276540677,-0.21518861624792757
2.1800000000000015,1.7119915489613171,0.09196722717148079,-0.021126359407143393,0.027330297597600178,-0.2086392013862415
2.2000000000000015,1.713801479840084,0.08902056392230882,-0.020585574610518773,0.026759665463369383,-0.2022867586437842
2.2200000000000015,1.7155534322696213,0.0861694933996814,-0.020056153464501337,0.026193691278087756,-0.19612546318126925
2.2400000000000015,1.717249286536951,0.0834108579039274,-0.019537998144369382,0.02563284369277092,-0.19014965853896196
2.2600000000000016,1.7188908608467026,0.08074160680784158,-0.019031001888259638,0.025077547959938887,-0.18435385192131254
2.2800000000000016,1.7204799134248117,0.07815879278985727,-0.018535049837867152,0.02452818864283488,-0.17873270960396806
2.3000000000000016,1.722018144548277,0.07565956820609415,-0.018050019826457934,0.02398511217604281,-0.17328105246129905
2.3200000000000016,1.7235071985036985,0.07324118159594305,-0.01757578311708927,0.02344862928515318,-0.1679938516124303
2.3400000000000016,1.7249486654772144,0.07090097431604894,-0.017112205093783407,0.022919017272752754,-0.16286622418350513
2.3600000000000017,1.7263440833783583,0.06863637729774975,-0.016659145908258406,0.022396522177655077,-0.15789342918391003
2.3800000000000017,1.7276949396002552,0.06644490792321704,-0.016216461084685083,0.02188136081394772,-0.15307086349402538
2.4000000000000017,1.7290026727184855,0.06432416701572918,-0.015784002084810705,0.021373722696106247,-0.14839405796201757
2.4200000000000017,1.730268674130856,0.06227183593968599,-0.015361616835668255,0.02087377185611399,-0.1438586736071605
